  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   48.   47.   46.   45.   44.   43.   43.   42.   42.   42.   42.
  .618   78.   77.   76.   75.   75.   74.   73.   73.   73.   72.   72.
  .927  108.  107.  106.  105.  105.  104.  103.  103.  103.  102.  102.
 1.236  138.  137.  136.  135.  134.  133.  133.  133.  132.  132.  132.
 1.545  167.  166.  165.  164.  163.  163.  162.  162.  161.  161.  161.
 1.854  195.  194.  193.  192.  192.  191.  191.  190.  190.  190.  190.
 2.163  223.  222.  221.  221.  220.  219.  219.  218.  218.  218.  218.
 2.473  251.  250.  249.  248.  248.  247.  247.  246.  246.  246.  246.
 2.782  278.  277.  276.  276.  275.  274.  274.  274.  273.  273.  273.
 3.091  305.  304.  303.  303.  302.  301.  301.  300.  300.  300.  300.
 3.401  332.  331.  330.  329.  328.  328.  327.  327.  327.  327.  326.
