  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   38.   37.   36.   36.   35.   34.   34.   34.   33.   33.   33.
  .618   62.   61.   60.   59.   59.   58.   58.   58.   57.   57.   57.
  .927   85.   85.   84.   83.   83.   82.   82.   81.   81.   81.   81.
 1.236  109.  108.  107.  107.  106.  106.  105.  105.  105.  105.  104.
 1.545  132.  131.  131.  130.  129.  129.  129.  128.  128.  128.  128.
 1.854  155.  154.  154.  153.  152.  152.  152.  151.  151.  151.  151.
 2.163  178.  177.  176.  176.  175.  175.  174.  174.  174.  174.  173.
 2.473  200.  200.  199.  198.  198.  197.  197.  196.  196.  196.  196.
 2.782  222.  222.  221.  220.  220.  219.  219.  219.  218.  218.  218.
 3.091  244.  243.  243.  242.  242.  241.  241.  240.  240.  240.  240.
 3.401  266.  265.  264.  264.  263.  263.  262.  262.  262.  262.  262.
