  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   41.   40.   39.   38.   38.   37.   37.   36.   36.   36.   36.
  .618   66.   66.   65.   64.   63.   63.   62.   62.   62.   62.   61.
  .927   92.   91.   90.   90.   89.   88.   88.   88.   87.   87.   87.
 1.236  117.  116.  116.  115.  114.  114.  113.  113.  113.  112.  112.
 1.545  142.  141.  140.  140.  139.  139.  138.  138.  138.  137.  137.
 1.854  167.  166.  165.  164.  164.  163.  163.  162.  162.  162.  162.
 2.163  191.  190.  189.  189.  188.  188.  187.  187.  187.  186.  186.
 2.473  215.  214.  213.  213.  212.  212.  211.  211.  211.  210.  210.
 2.782  238.  238.  237.  236.  236.  235.  235.  234.  234.  234.  234.
 3.091  262.  261.  260.  260.  259.  259.  258.  258.  258.  257.  257.
 3.401  285.  284.  283.  283.  282.  282.  281.  281.  281.  280.  280.
