  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   31.   30.   30.   29.   29.   29.   28.   28.   28.   28.   28.
  .618   50.   49.   49.   48.   48.   47.   47.   47.   46.   46.   46.
  .927   70.   69.   68.   68.   67.   67.   67.   66.   66.   66.   66.
 1.236   89.   89.   88.   87.   87.   87.   86.   86.   86.   86.   86.
 1.545  109.  108.  107.  107.  106.  106.  106.  105.  105.  105.  105.
 1.854  128.  127.  127.  126.  126.  125.  125.  125.  124.  124.  124.
 2.163  147.  146.  146.  145.  145.  144.  144.  144.  143.  143.  143.
 2.473  166.  165.  164.  164.  163.  163.  163.  162.  162.  162.  162.
 2.782  184.  184.  183.  182.  182.  182.  181.  181.  181.  181.  181.
 3.091  203.  202.  201.  201.  200.  200.  200.  199.  199.  199.  199.
 3.401  221.  220.  220.  219.  219.  218.  218.  218.  218.  217.  217.
