  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   24.   23.   23.   23.   23.   23.   22.   22.   22.   22.   22.
  .618   35.   35.   34.   34.   34.   33.   33.   33.   33.   33.   33.
  .927   49.   48.   48.   48.   47.   47.   47.   46.   46.   46.   46.
 1.236   63.   63.   62.   62.   62.   61.   61.   61.   61.   60.   60.
 1.545   78.   77.   77.   76.   76.   76.   75.   75.   75.   75.   75.
 1.854   92.   92.   91.   91.   90.   90.   90.   90.   89.   89.   89.
 2.163  106.  106.  105.  105.  105.  104.  104.  104.  104.  104.  104.
 2.473  121.  120.  120.  119.  119.  119.  118.  118.  118.  118.  118.
 2.782  135.  134.  134.  133.  133.  133.  132.  132.  132.  132.  132.
 3.091  149.  148.  148.  147.  147.  147.  146.  146.  146.  146.  146.
 3.401  163.  162.  162.  161.  161.  161.  160.  160.  160.  160.  160.
