  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   70.   70.   70.   70.   70.   70.   70.   70.   70.   70.   70.
  .224  108.   96.   84.   79.   75.   73.   71.   71.   70.   70.   70.
  .458  193.  166.  139.  123.  107.   97.   88.   84.   79.   77.   76.
  .701  281.  239.  209.  179.  159.  139.  126.  113.  106.  101.   98.
  .935  355.  309.  273.  238.  213.  188.  171.  155.  145.  138.  135.
 1.178  423.  379.  336.  303.  270.  246.  223.  207.  194.  186.  182.
 1.412  486.  441.  397.  362.  328.  302.  278.  261.  247.  238.  234.
 1.655  551.  501.  460.  421.  389.  360.  338.  318.  305.  295.  291.
 1.889  608.  559.  518.  479.  447.  417.  395.  375.  361.  352.  347.
 2.132  664.  619.  575.  539.  505.  477.  453.  435.  420.  411.  406.
 2.366  718.  673.  630.  594.  560.  533.  509.  491.  477.  467.  463.
 2.609  773.  727.  687.  649.  618.  590.  567.  548.  535.  525.  521.
